date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:22:21	675/675	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sun,%2024%20Oct%202021%2012:22:20%20GMT	http://demo.seleniumeasy.com/robots.txt		(from )
15:22:21	32130/32130	---M-Z	200	added ('OK')	text/html	etag:%221e83f1-7d82-5ce789311163d-gzip%22	http://demo.seleniumeasy.com/	D:/Git/Sites/SeleniumEasy/demo.seleniumeasy.com/index.html	(from )
15:22:23	121200/121200	---M-Z	200	added ('OK')	text/css	etag:%221e85a7-1d970-5cde96e1dc66e-gzip%22	http://demo.seleniumeasy.com/css/bootstrap.min.css	D:/Git/Sites/SeleniumEasy/demo.seleniumeasy.com/css/bootstrap.min.css	(from http://demo.seleniumeasy.com/)
15:22:24	2812/2812	---M-Z	200	added ('OK')	text/css	etag:%221e85a9-afc-5cde96e1de1c6-gzip%22	http://demo.seleniumeasy.com/css/main.css	D:/Git/Sites/SeleniumEasy/demo.seleniumeasy.com/css/main.css	(from http://demo.seleniumeasy.com/)
15:22:25	4136/4136	---M-Z	200	added ('OK')	text/css	etag:%221e85a8-1028-5cde96e1dca56-gzip%22	http://demo.seleniumeasy.com/css/custom.css	D:/Git/Sites/SeleniumEasy/demo.seleniumeasy.com/css/custom.css	(from http://demo.seleniumeasy.com/)
15:22:25	4977/4977	---M-Z	200	added ('OK')	text/css	etag:%221e85bb-1371-5cde96e1ec83e-gzip%22	http://demo.seleniumeasy.com/css/slider-cars.css	D:/Git/Sites/SeleniumEasy/demo.seleniumeasy.com/css/slider-cars.css	(from http://demo.seleniumeasy.com/)
15:22:25	4204/4204	---M-Z	200	added ('OK')	text/css	etag:%221e85a3-106c-5cde96e1d3db5-gzip%22	http://demo.seleniumeasy.com/css/home-bar.css	D:/Git/Sites/SeleniumEasy/demo.seleniumeasy.com/css/home-bar.css	(from http://demo.seleniumeasy.com/)
15:22:25	27466/27466	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:54%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	D:/Git/Sites/SeleniumEasy/maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	(from http://demo.seleniumeasy.com/)
15:22:37	153/153	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2024%20Oct%202021%2012:22:37%20GMT	http://s7.addthis.com/js/300/addthis_widget.js	D:/Git/Sites/SeleniumEasy/s7.addthis.com/js/300/addthis_widget.7.delayed	(from http://demo.seleniumeasy.com/)
15:22:38	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Oct%202021%2012:22:37%20GMT	http://www.seleniumeasy.com/sites/default/files/seleniumEasy_0.jpg	D:/Git/Sites/SeleniumEasy/www.seleniumeasy.com/sites/default/files/seleniumEasy_0.8.delayed	(from http://demo.seleniumeasy.com/)
15:22:38	5873/5873	---M--	200	added ('OK')	image/jpeg	etag:%221e0a1e-16f1-53e842e8ab240%22	https://www.seleniumeasy.com/sites/default/files/seleniumEasy_0.jpg	D:/Git/Sites/SeleniumEasy/www.seleniumeasy.com/sites/default/files/seleniumEasy_0.jpg	(from http://demo.seleniumeasy.com/)
15:22:39	8332/8332	---M--	200	added ('OK')	image/png	etag:%221e85dc-208c-5cde96e26de93%22	http://demo.seleniumeasy.com/img/sponsored-by-CBT.png	D:/Git/Sites/SeleniumEasy/demo.seleniumeasy.com/img/sponsored-by-CBT.png	(from http://demo.seleniumeasy.com/)
15:22:39	21232/21232	---M-Z	200	added ('OK')	text/html	etag:%221e8443-52f0-5ce78983eeb47-gzip%22	http://demo.seleniumeasy.com/basic-first-form-demo.html	D:/Git/Sites/SeleniumEasy/demo.seleniumeasy.com/basic-first-form-demo.html	(from http://demo.seleniumeasy.com/)
15:22:40	20544/20544	---M-Z	200	added ('OK')	text/html	etag:%221e8442-5040-5ce7897a0b6ef-gzip%22	http://demo.seleniumeasy.com/basic-checkbox-demo.html	D:/Git/Sites/SeleniumEasy/demo.seleniumeasy.com/basic-checkbox-demo.html	(from http://demo.seleniumeasy.com/)
15:22:42	19359/19359	---M-Z	200	added ('OK')	text/html	etag:%221e8445-4b9f-5ce7898f23deb-gzip%22	http://demo.seleniumeasy.com/basic-radiobutton-demo.html	D:/Git/Sites/SeleniumEasy/demo.seleniumeasy.com/basic-radiobutton-demo.html	(from http://demo.seleniumeasy.com/)
