date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:28:54	106/106	---M--	200	added ('OK')	text/plain	date:Mon,%2015%20Feb%202021%2017:29:38%20GMT	http://the-internet.herokuapp.com/robots.txt		(from )
15:28:54	4072/4072	---M--	200	added ('OK')	text/html	date:Sun,%2024%20Oct%202021%2012:28:54%20GMT	http://the-internet.herokuapp.com/	D:/Git/Sites/TheInternet/the-internet.herokuapp.com/index.html	(from )
15:28:55	1/1	---M--	307	error ('Temporary%20Redirect')	text/plain		http://the-internet.herokuapp.com/js/vendor/298279967.js	D:/Git/Sites/TheInternet/the-internet.herokuapp.com/js/vendor/298279967.js	(from http://the-internet.herokuapp.com/)
15:28:57	353394/353394	---M--	200	added ('OK')	text/css	date:Mon,%2015%20Feb%202021%2017:29:38%20GMT	http://the-internet.herokuapp.com/css/app.css	D:/Git/Sites/TheInternet/the-internet.herokuapp.com/css/app.css	(from http://the-internet.herokuapp.com/)
15:28:58	28747/28747	---M--	200	added ('OK')	text/css	date:Mon,%2015%20Feb%202021%2017:29:38%20GMT	http://the-internet.herokuapp.com/css/font-awesome.css	D:/Git/Sites/TheInternet/the-internet.herokuapp.com/css/font-awesome.css	(from http://the-internet.herokuapp.com/)
15:29:04	1392/1392	---M--	200	added ('OK')	application/javascript	date:Mon,%2015%20Feb%202021%2017:29:38%20GMT	http://the-internet.herokuapp.com/js/foundation/foundation.alerts.js	D:/Git/Sites/TheInternet/the-internet.herokuapp.com/js/foundation/foundation.alerts.js	(from http://the-internet.herokuapp.com/)
15:29:05	7660/7660	---M--	200	added ('OK')	image/png	date:Mon,%2015%20Feb%202021%2017:29:38%20GMT	http://the-internet.herokuapp.com/img/forkme_right_green_007200.png	D:/Git/Sites/TheInternet/the-internet.herokuapp.com/img/forkme_right_green_007200.png	(from http://the-internet.herokuapp.com/)
15:29:05	12715/12715	---M--	200	added ('OK')	application/javascript	date:Mon,%2015%20Feb%202021%2017:29:38%20GMT	http://the-internet.herokuapp.com/js/foundation/foundation.js	D:/Git/Sites/TheInternet/the-internet.herokuapp.com/js/foundation/foundation.js	(from http://the-internet.herokuapp.com/)
15:29:06	1850/1850	---M--	200	added ('OK')	text/html	date:Sun,%2024%20Oct%202021%2012:29:05%20GMT	http://the-internet.herokuapp.com/abtest	D:/Git/Sites/TheInternet/the-internet.herokuapp.com/abtest.html	(from http://the-internet.herokuapp.com/)
15:29:07	95957/95957	---M--	200	added ('OK')	application/javascript	date:Mon,%2015%20Feb%202021%2017:29:38%20GMT	http://the-internet.herokuapp.com/js/vendor/jquery-1.11.3.min.js	D:/Git/Sites/TheInternet/the-internet.herokuapp.com/js/vendor/jquery-1.11.3.min.js	(from http://the-internet.herokuapp.com/)
